,AskPrice,BidPrice,AskVolume,BidVolume
2020-12-22 09:00:00.500,4579.0,4576.0,126.0,3.0
2020-12-22 09:00:01.000,4578.0,4577.0,15.0,28.0
2020-12-22 09:00:01.500,4572.0,4571.0,30.0,15.0
2020-12-22 09:00:02.000,4569.0,4568.0,200.0,58.0
2020-12-22 09:00:02.500,4567.0,4566.0,9.0,44.0
2020-12-22 09:00:03.000,4565.0,4564.0,146.0,631.0
2020-12-22 09:00:03.500,4566.0,4565.0,173.0,5.0
2020-12-22 09:00:04.000,4570.0,4568.0,31.0,6.0
2020-12-22 09:00:04.500,4570.0,4569.0,81.0,21.0
2020-12-22 09:00:05.000,4572.0,4571.0,135.0,23.0
2020-12-22 09:00:05.500,4575.0,4573.0,3.0,180.0
2020-12-22 09:00:06.000,4571.0,4570.0,2.0,11.0
2020-12-22 09:00:06.500,4575.0,4573.0,14.0,29.0
2020-12-22 09:00:07.000,4572.0,4571.0,35.0,41.0
2020-12-22 09:00:07.500,4570.0,4568.0,90.0,45.0
2020-12-22 09:00:08.000,4569.0,4568.0,49.0,2.0
2020-12-22 09:00:08.500,4567.0,4566.0,39.0,52.0
2020-12-22 09:00:09.000,4568.0,4565.0,123.0,7.0
2020-12-22 09:00:09.500,4566.0,4565.0,4.0,21.0
2020-12-22 09:00:10.000,4566.0,4565.0,6.0,36.0
2020-12-22 09:00:10.500,4565.0,4564.0,40.0,125.0
2020-12-22 09:00:11.000,4566.0,4565.0,2.0,68.0
2020-12-22 09:00:11.500,4566.0,4565.0,15.0,8.0
2020-12-22 09:00:12.000,4566.0,4565.0,35.0,23.0
2020-12-22 09:00:12.500,4565.0,4563.0,57.0,589.0
2020-12-22 09:00:13.000,4565.0,4564.0,234.0,38.0
2020-12-22 09:00:13.500,4564.0,4563.0,4.0,546.0
2020-12-22 09:00:14.000,4566.0,4564.0,4.0,3.0
2020-12-22 09:00:14.500,4566.0,4565.0,16.0,44.0
2020-12-22 09:00:15.000,4567.0,4566.0,11.0,12.0
2020-12-22 09:00:15.500,4566.0,4565.0,5.0,35.0
2020-12-22 09:00:16.000,4567.0,4566.0,36.0,53.0
2020-12-22 09:00:16.500,4568.0,4566.0,15.0,245.0
2020-12-22 09:00:17.000,4569.0,4567.0,70.0,125.0
2020-12-22 09:00:17.500,4569.0,4568.0,78.0,8.0
2020-12-22 09:00:18.000,4571.0,4569.0,127.0,199.0
2020-12-22 09:00:18.500,4570.0,4569.0,3.0,198.0
2020-12-22 09:00:19.000,4571.0,4569.0,55.0,289.0
2020-12-22 09:00:19.500,4571.0,4570.0,27.0,60.0
2020-12-22 09:00:20.000,4572.0,4571.0,61.0,112.0
2020-12-22 09:00:20.500,4572.0,4571.0,82.0,6.0
2020-12-22 09:00:21.000,4571.0,4570.0,294.0,17.0
2020-12-22 09:00:21.500,4569.0,4567.0,1.0,107.0
2020-12-22 09:00:22.000,4569.0,4568.0,116.0,9.0
