,AskPrice,BidPrice,AskVolume,BidVolume
2020-12-22 09:00:22.500,4568.0,4567.0,1.0,131.0
2020-12-22 09:00:23.000,4569.0,4568.0,2.0,19.0
2020-12-22 09:00:23.500,4569.0,4568.0,28.0,52.0
2020-12-22 09:00:24.000,4568.0,4567.0,1.0,132.0
2020-12-22 09:00:24.500,4568.0,4567.0,12.0,115.0
2020-12-22 09:00:25.000,4569.0,4568.0,52.0,267.0
2020-12-22 09:00:25.500,4568.0,4567.0,359.0,77.0
2020-12-22 09:00:26.000,4567.0,4566.0,259.0,600.0
2020-12-22 09:00:26.500,4567.0,4565.0,194.0,204.0
2020-12-22 09:00:27.000,4566.0,4565.0,47.0,14.0
2020-12-22 09:00:27.500,4565.0,4564.0,155.0,167.0
2020-12-22 09:00:28.000,4565.0,4564.0,302.0,98.0
2020-12-22 09:00:28.500,4564.0,4563.0,363.0,489.0
2020-12-22 09:00:29.000,4563.0,4562.0,3.0,12.0
2020-12-22 09:00:29.500,4562.0,4561.0,69.0,561.0
2020-12-22 09:00:30.000,4562.0,4561.0,76.0,395.0
2020-12-22 09:00:30.500,4562.0,4561.0,22.0,195.0
2020-12-22 09:00:31.000,4561.0,4560.0,55.0,276.0
2020-12-22 09:00:31.500,4563.0,4562.0,13.0,35.0
2020-12-22 09:00:32.000,4562.0,4561.0,41.0,5.0
2020-12-22 09:00:32.500,4561.0,4559.0,168.0,97.0
2020-12-22 09:00:33.000,4561.0,4560.0,141.0,149.0
2020-12-22 09:00:33.500,4562.0,4561.0,125.0,181.0
2020-12-22 09:00:34.000,4563.0,4562.0,71.0,32.0
2020-12-22 09:00:34.500,4564.0,4563.0,168.0,1.0
2020-12-22 09:00:35.000,4562.0,4561.0,161.0,252.0
2020-12-22 09:00:35.500,4563.0,4562.0,13.0,87.0
2020-12-22 09:00:36.000,4564.0,4563.0,28.0,373.0
2020-12-22 09:00:36.500,4565.0,4564.0,313.0,385.0
2020-12-22 09:00:37.000,4566.0,4565.0,54.0,81.0
2020-12-22 09:00:37.500,4567.0,4566.0,40.0,67.0
2020-12-22 09:00:38.000,4567.0,4566.0,86.0,4.0
2020-12-22 09:00:38.500,4568.0,4567.0,454.0,4.0
2020-12-22 09:00:39.000,4566.0,4565.0,5.0,29.0
2020-12-22 09:00:39.500,4567.0,4566.0,7.0,16.0
2020-12-22 09:00:40.000,4568.0,4567.0,454.0,1.0
2020-12-22 09:00:40.500,4567.0,4566.0,12.0,81.0
2020-12-22 09:00:41.000,4567.0,4566.0,1.0,90.0
2020-12-22 09:00:41.500,4567.0,4566.0,1.0,149.0
2020-12-22 09:00:42.000,4568.0,4567.0,345.0,93.0
2020-12-22 09:00:42.500,4567.0,4566.0,1.0,7.0
2020-12-22 09:00:43.000,4568.0,4567.0,300.0,1.0
2020-12-22 09:00:43.500,4567.0,4566.0,28.0,52.0
2020-12-22 09:00:44.000,4567.0,4565.0,65.0,167.0
2020-12-22 09:00:44.500,4567.0,4565.0,86.0,115.0
2020-12-22 09:00:45.000,4566.0,4565.0,43.0,56.0
2020-12-22 09:00:45.500,4567.0,4565.0,43.0,49.0
2020-12-22 09:00:46.000,4567.0,4566.0,118.0,28.0
2020-12-22 09:00:46.500,4567.0,4566.0,90.0,5.0
2020-12-22 09:00:47.000,4566.0,4565.0,72.0,145.0
2020-12-22 09:00:47.500,4567.0,4566.0,17.0,45.0
2020-12-22 09:00:48.000,4568.0,4566.0,275.0,45.0
2020-12-22 09:00:48.500,4566.0,4565.0,59.0,148.0
2020-12-22 09:00:49.000,4566.0,4565.0,79.0,150.0
2020-12-22 09:00:49.500,4566.0,4565.0,106.0,151.0
2020-12-22 09:00:50.000,4566.0,4565.0,54.0,149.0
2020-12-22 09:00:50.500,4567.0,4566.0,87.0,39.0
2020-12-22 09:00:51.000,4566.0,4565.0,34.0,155.0
2020-12-22 09:00:51.500,4567.0,4566.0,107.0,194.0
2020-12-22 09:00:52.000,4567.0,4566.0,77.0,57.0
2020-12-22 09:00:52.500,4567.0,4566.0,35.0,57.0
2020-12-22 09:00:53.000,4567.0,4565.0,41.0,103.0
2020-12-22 09:00:53.500,4568.0,4567.0,285.0,11.0
2020-12-22 09:00:54.000,4567.0,4566.0,112.0,51.0
2020-12-22 09:00:54.500,4567.0,4566.0,183.0,9.0
2020-12-22 09:00:55.000,4566.0,4565.0,62.0,181.0
2020-12-22 09:00:55.500,4566.0,4565.0,24.0,136.0
2020-12-22 09:00:56.000,4567.0,4566.0,75.0,24.0
2020-12-22 09:00:56.500,4567.0,4565.0,95.0,171.0
2020-12-22 09:00:57.000,4567.0,4566.0,98.0,5.0
2020-12-22 09:00:57.500,4567.0,4566.0,96.0,16.0
2020-12-22 09:00:58.000,4567.0,4566.0,120.0,24.0
2020-12-22 09:00:58.500,4566.0,4565.0,2.0,209.0
2020-12-22 09:00:59.000,4568.0,4567.0,361.0,376.0
2020-12-22 09:00:59.500,4569.0,4568.0,709.0,68.0
2020-12-22 09:01:00.000,4569.0,4568.0,712.0,247.0
2020-12-22 09:01:00.500,4571.0,4570.0,25.0,105.0
2020-12-22 09:01:01.000,4572.0,4571.0,129.0,174.0
2020-12-22 09:01:01.500,4568.0,4567.0,172.0,489.0
2020-12-22 09:01:02.000,4569.0,4568.0,8.0,1.0
2020-12-22 09:01:02.500,4568.0,4567.0,12.0,369.0
2020-12-22 09:01:03.000,4568.0,4567.0,186.0,12.0
2020-12-22 09:01:03.500,4568.0,4565.0,81.0,264.0
2020-12-22 09:01:04.000,4566.0,4565.0,242.0,265.0
2020-12-22 09:01:04.500,4565.0,4564.0,73.0,321.0
2020-12-22 09:01:05.000,4565.0,4564.0,150.0,241.0
2020-12-22 09:01:05.500,4565.0,4564.0,131.0,218.0
2020-12-22 09:01:06.000,4565.0,4564.0,120.0,208.0
2020-12-22 09:01:06.500,4565.0,4564.0,38.0,138.0
2020-12-22 09:01:07.000,4566.0,4565.0,31.0,23.0
2020-12-22 09:01:07.500,4565.0,4564.0,43.0,133.0
2020-12-22 09:01:08.000,4566.0,4565.0,65.0,453.0
2020-12-22 09:01:08.500,4567.0,4565.0,144.0,439.0
2020-12-22 09:01:09.000,4567.0,4565.0,90.0,436.0
2020-12-22 09:01:09.500,4567.0,4566.0,94.0,6.0
2020-12-22 09:01:10.000,4566.0,4565.0,57.0,197.0
2020-12-22 09:01:10.500,4566.0,4565.0,164.0,4.0
2020-12-22 09:01:11.000,4565.0,4564.0,465.0,144.0
2020-12-22 09:01:11.500,4563.0,4562.0,37.0,193.0
2020-12-22 09:01:12.000,4563.0,4562.0,44.0,189.0
2020-12-22 09:01:12.500,4563.0,4562.0,3.0,208.0
2020-12-22 09:01:13.000,4564.0,4562.0,114.0,169.0
2020-12-22 09:01:13.500,4564.0,4563.0,162.0,9.0
2020-12-22 09:01:14.000,4563.0,4562.0,299.0,150.0
2020-12-22 09:01:14.500,4563.0,4562.0,211.0,126.0
2020-12-22 09:01:15.000,4564.0,4563.0,22.0,100.0
2020-12-22 09:01:15.500,4565.0,4563.0,90.0,162.0
2020-12-22 09:01:16.000,4565.0,4564.0,175.0,167.0
2020-12-22 09:01:16.500,4566.0,4565.0,55.0,199.0
2020-12-22 09:01:17.000,4564.0,4563.0,2.0,452.0
2020-12-22 09:01:17.500,4565.0,4564.0,31.0,93.0
2020-12-22 09:01:18.000,4565.0,4564.0,30.0,103.0
2020-12-22 09:01:18.500,4565.0,4564.0,25.0,106.0
2020-12-22 09:01:19.000,4566.0,4565.0,72.0,2.0
2020-12-22 09:01:19.500,4565.0,4564.0,289.0,19.0
2020-12-22 09:01:20.000,4564.0,4563.0,87.0,485.0
2020-12-22 09:01:20.500,4564.0,4563.0,128.0,472.0
2020-12-22 09:01:21.000,4564.0,4563.0,125.0,231.0
2020-12-22 09:01:21.500,4563.0,4562.0,355.0,408.0
2020-12-22 09:01:22.000,4563.0,4562.0,262.0,211.0
2020-12-22 09:01:22.500,4563.0,4562.0,248.0,207.0
2020-12-22 09:01:23.000,4563.0,4562.0,240.0,142.0
2020-12-22 09:01:23.500,4563.0,4562.0,135.0,111.0
2020-12-22 09:01:24.000,4564.0,4563.0,140.0,1.0
2020-12-22 09:01:24.500,4564.0,4563.0,140.0,1.0
2020-12-22 09:01:25.000,4564.0,4563.0,150.0,2.0
2020-12-22 09:01:25.500,4564.0,4563.0,135.0,5.0
2020-12-22 09:01:26.000,4564.0,4563.0,26.0,75.0
2020-12-22 09:01:26.500,4565.0,4564.0,151.0,361.0
2020-12-22 09:01:27.000,4566.0,4565.0,373.0,131.0
2020-12-22 09:01:27.500,4568.0,4566.0,131.0,118.0
2020-12-22 09:01:28.000,4568.0,4567.0,85.0,73.0
2020-12-22 09:01:28.500,4568.0,4567.0,55.0,65.0
2020-12-22 09:01:29.000,4569.0,4567.0,135.0,89.0
2020-12-22 09:01:29.500,4569.0,4568.0,95.0,36.0
2020-12-22 09:01:30.000,4568.0,4567.0,53.0,113.0
2020-12-22 09:01:30.500,4569.0,4568.0,58.0,39.0
2020-12-22 09:01:31.000,4569.0,4568.0,33.0,96.0
2020-12-22 09:01:31.500,4570.0,4569.0,108.0,24.0
2020-12-22 09:01:32.000,4569.0,4568.0,101.0,136.0
2020-12-22 09:01:32.500,4570.0,4569.0,121.0,55.0
2020-12-22 09:01:33.000,4569.0,4568.0,63.0,133.0
2020-12-22 09:01:33.500,4569.0,4568.0,71.0,116.0
2020-12-22 09:01:34.000,4570.0,4569.0,143.0,310.0
2020-12-22 09:01:34.500,4571.0,4570.0,133.0,71.0
2020-12-22 09:01:35.000,4572.0,4571.0,220.0,58.0
2020-12-22 09:01:35.500,4572.0,4571.0,15.0,25.0
2020-12-22 09:01:36.000,4573.0,4572.0,77.0,70.0
2020-12-22 09:01:36.500,4573.0,4572.0,35.0,131.0
2020-12-22 09:01:37.000,4572.0,4571.0,45.0,173.0
2020-12-22 09:01:37.500,4573.0,4572.0,14.0,35.0
2020-12-22 09:01:38.000,4574.0,4573.0,101.0,79.0
2020-12-22 09:01:38.500,4574.0,4573.0,66.0,25.0
2020-12-22 09:01:39.000,4573.0,4572.0,12.0,282.0
2020-12-22 09:01:39.500,4574.0,4573.0,7.0,360.0
2020-12-22 09:01:40.000,4575.0,4574.0,94.0,6.0
2020-12-22 09:01:40.500,4574.0,4573.0,557.0,2.0
2020-12-22 09:01:41.000,4573.0,4571.0,414.0,110.0
2020-12-22 09:01:41.500,4571.0,4570.0,14.0,139.0
2020-12-22 09:01:42.000,4572.0,4571.0,3.0,710.0
2020-12-22 09:01:42.500,4574.0,4572.0,203.0,636.0
2020-12-22 09:01:43.000,4574.0,4573.0,204.0,92.0
2020-12-22 09:01:43.500,4574.0,4573.0,11.0,121.0
2020-12-22 09:01:44.000,4575.0,4574.0,162.0,26.0
2020-12-22 09:01:44.500,4574.0,4573.0,238.0,135.0
2020-12-22 09:01:45.000,4574.0,4572.0,199.0,223.0
2020-12-22 09:01:45.500,4574.0,4573.0,180.0,21.0
2020-12-22 09:01:46.000,4575.0,4574.0,188.0,90.0
2020-12-22 09:01:46.500,4576.0,4575.0,61.0,39.0
2020-12-22 09:01:47.000,4577.0,4576.0,102.0,199.0
2020-12-22 09:01:47.500,4578.0,4577.0,262.0,45.0
2020-12-22 09:01:48.000,4577.0,4576.0,1.0,2.0
2020-12-22 09:01:48.500,4577.0,4576.0,107.0,1.0
2020-12-22 09:01:49.000,4575.0,4574.0,63.0,295.0
2020-12-22 09:01:49.500,4576.0,4575.0,18.0,8.0
2020-12-22 09:01:50.000,4576.0,4575.0,2.0,91.0
2020-12-22 09:01:50.500,4577.0,4576.0,103.0,126.0
2020-12-22 09:01:51.000,4576.0,4575.0,55.0,132.0
2020-12-22 09:01:51.500,4577.0,4576.0,103.0,30.0
2020-12-22 09:01:52.000,4576.0,4575.0,279.0,95.0
2020-12-22 09:01:52.500,4576.0,4575.0,146.0,67.0
2020-12-22 09:01:53.000,4578.0,4577.0,316.0,215.0
2020-12-22 09:01:53.500,4579.0,4578.0,135.0,77.0
2020-12-22 09:01:54.000,4580.0,4579.0,114.0,101.0
2020-12-22 09:01:54.500,4581.0,4580.0,151.0,67.0
2020-12-22 09:01:55.000,4582.0,4581.0,26.0,33.0
2020-12-22 09:01:55.500,4583.0,4582.0,130.0,68.0
2020-12-22 09:01:56.000,4581.0,4580.0,22.0,42.0
2020-12-22 09:01:56.500,4580.0,4579.0,145.0,64.0
2020-12-22 09:01:57.000,4582.0,4581.0,298.0,4.0
2020-12-22 09:01:57.500,4581.0,4580.0,398.0,5.0
2020-12-22 09:01:58.000,4580.0,4579.0,271.0,86.0
2020-12-22 09:01:58.500,4580.0,4579.0,3.0,19.0
2020-12-22 09:01:59.000,4582.0,4580.0,294.0,675.0
2020-12-22 09:01:59.500,4582.0,4581.0,108.0,589.0
2020-12-22 09:02:00.000,4582.0,4581.0,15.0,219.0
2020-12-22 09:02:00.500,4581.0,4580.0,200.0,586.0
2020-12-22 09:02:01.000,4581.0,4580.0,146.0,545.0
2020-12-22 09:02:01.500,4582.0,4581.0,18.0,2.0
2020-12-22 09:02:02.000,4582.0,4581.0,71.0,75.0
2020-12-22 09:02:02.500,4583.0,4582.0,10.0,36.0
2020-12-22 09:02:03.000,4585.0,4584.0,234.0,178.0
2020-12-22 09:02:03.500,4585.0,4584.0,36.0,5.0
2020-12-22 09:02:04.000,4586.0,4585.0,141.0,117.0
2020-12-22 09:02:04.500,4585.0,4584.0,20.0,47.0
2020-12-22 09:02:05.000,4586.0,4585.0,191.0,4.0
2020-12-22 09:02:05.500,4584.0,4583.0,477.0,45.0
2020-12-22 09:02:06.000,4583.0,4582.0,203.0,91.0
2020-12-22 09:02:06.500,4584.0,4582.0,495.0,6.0
2020-12-22 09:02:07.000,4583.0,4582.0,5.0,150.0
2020-12-22 09:02:07.500,4584.0,4583.0,1.0,460.0
2020-12-22 09:02:08.000,4585.0,4584.0,4.0,591.0
2020-12-22 09:02:08.500,4586.0,4585.0,217.0,671.0
2020-12-22 09:02:09.000,4587.0,4585.0,109.0,691.0
2020-12-22 09:02:09.500,4588.0,4587.0,269.0,58.0
2020-12-22 09:02:10.000,4587.0,4586.0,38.0,14.0
2020-12-22 09:02:10.500,4586.0,4585.0,108.0,53.0
2020-12-22 09:02:11.000,4585.0,4584.0,31.0,17.0
2020-12-22 09:02:11.500,4582.0,4581.0,4.0,224.0
2020-12-22 09:02:12.000,4584.0,4583.0,27.0,11.0
2020-12-22 09:02:12.500,4583.0,4582.0,35.0,10.0
2020-12-22 09:02:13.000,4583.0,4582.0,84.0,13.0
2020-12-22 09:02:13.500,4583.0,4582.0,26.0,15.0
2020-12-22 09:02:14.000,4583.0,4582.0,27.0,3.0
2020-12-22 09:02:14.500,4583.0,4582.0,145.0,20.0
2020-12-22 09:02:15.000,4584.0,4583.0,48.0,9.0
2020-12-22 09:02:15.500,4582.0,4581.0,13.0,20.0
2020-12-22 09:02:16.000,4583.0,4582.0,22.0,92.0
2020-12-22 09:02:16.500,4584.0,4583.0,69.0,3.0
2020-12-22 09:02:17.000,4583.0,4582.0,237.0,48.0
2020-12-22 09:02:17.500,4583.0,4582.0,243.0,2.0
2020-12-22 09:02:18.000,4583.0,4581.0,262.0,126.0
2020-12-22 09:02:18.500,4584.0,4583.0,92.0,138.0
2020-12-22 09:02:19.000,4585.0,4584.0,169.0,103.0
2020-12-22 09:02:19.500,4585.0,4584.0,16.0,94.0
2020-12-22 09:02:20.000,4586.0,4585.0,160.0,333.0
2020-12-22 09:02:20.500,4588.0,4587.0,332.0,184.0
2020-12-22 09:02:21.000,4588.0,4587.0,193.0,94.0
2020-12-22 09:02:21.500,4588.0,4586.0,189.0,32.0
2020-12-22 09:02:22.000,4589.0,4588.0,234.0,337.0
2020-12-22 09:02:22.500,4590.0,4589.0,414.0,256.0
2020-12-22 09:02:23.000,4593.0,4592.0,43.0,208.0
2020-12-22 09:02:23.500,4598.0,4594.0,11.0,21.0
2020-12-22 09:02:24.000,4596.0,4595.0,569.0,83.0
2020-12-22 09:02:24.500,4595.0,4593.0,734.0,56.0
2020-12-22 09:02:25.000,4593.0,4591.0,215.0,16.0
2020-12-22 09:02:25.500,4592.0,4591.0,12.0,10.0
2020-12-22 09:02:26.000,4591.0,4590.0,7.0,106.0
2020-12-22 09:02:26.500,4591.0,4590.0,41.0,107.0
2020-12-22 09:02:27.000,4592.0,4591.0,11.0,6.0
2020-12-22 09:02:27.500,4592.0,4591.0,56.0,4.0
2020-12-22 09:02:28.000,4592.0,4591.0,113.0,2.0
2020-12-22 09:02:28.500,4591.0,4590.0,138.0,28.0
2020-12-22 09:02:29.000,4591.0,4589.0,219.0,90.0
2020-12-22 09:02:29.500,4590.0,4589.0,8.0,74.0
2020-12-22 09:02:30.000,4590.0,4589.0,27.0,12.0
2020-12-22 09:02:30.500,4589.0,4588.0,21.0,108.0
2020-12-22 09:02:31.000,4590.0,4589.0,289.0,292.0
2020-12-22 09:02:31.500,4591.0,4590.0,19.0,56.0
2020-12-22 09:02:32.000,4592.0,4591.0,237.0,6.0
2020-12-22 09:02:32.500,4591.0,4590.0,239.0,123.0
2020-12-22 09:02:33.000,4590.0,4589.0,220.0,84.0
2020-12-22 09:02:33.500,4589.0,4588.0,4.0,126.0
2020-12-22 09:02:34.000,4590.0,4589.0,69.0,110.0
2020-12-22 09:02:34.500,4590.0,4589.0,53.0,84.0
2020-12-22 09:02:35.000,4591.0,4590.0,69.0,151.0
2020-12-22 09:02:35.500,4590.0,4589.0,130.0,37.0
2020-12-22 09:02:36.000,4589.0,4588.0,150.0,117.0
2020-12-22 09:02:36.500,4589.0,4588.0,122.0,83.0
2020-12-22 09:02:37.000,4588.0,4587.0,21.0,131.0
2020-12-22 09:02:37.500,4588.0,4587.0,19.0,15.0
2020-12-22 09:02:38.000,4588.0,4587.0,10.0,12.0
2020-12-22 09:02:38.500,4589.0,4587.0,182.0,24.0
2020-12-22 09:02:39.000,4589.0,4588.0,181.0,389.0
2020-12-22 09:02:39.500,4590.0,4589.0,186.0,222.0
2020-12-22 09:02:40.000,4591.0,4590.0,106.0,434.0
2020-12-22 09:02:40.500,4592.0,4591.0,106.0,291.0
2020-12-22 09:02:41.000,4593.0,4592.0,201.0,8.0
2020-12-22 09:02:41.500,4591.0,4590.0,160.0,157.0
2020-12-22 09:02:42.000,4592.0,4591.0,42.0,2.0
2020-12-22 09:02:42.500,4592.0,4591.0,23.0,37.0
2020-12-22 09:02:43.000,4592.0,4591.0,82.0,4.0
2020-12-22 09:02:43.500,4591.0,4590.0,107.0,99.0
2020-12-22 09:02:44.000,4592.0,4590.0,87.0,98.0
2020-12-22 09:02:44.500,4591.0,4590.0,5.0,330.0
2020-12-22 09:02:45.000,4592.0,4591.0,79.0,418.0
2020-12-22 09:02:45.500,4593.0,4592.0,181.0,461.0
2020-12-22 09:02:46.000,4594.0,4592.0,221.0,111.0
2020-12-22 09:02:46.500,4595.0,4594.0,223.0,201.0
2020-12-22 09:02:47.000,4595.0,4594.0,8.0,167.0
2020-12-22 09:02:47.500,4596.0,4595.0,206.0,91.0
2020-12-22 09:02:48.000,4596.0,4595.0,91.0,112.0
2020-12-22 09:02:48.500,4597.0,4596.0,188.0,52.0
2020-12-22 09:02:49.000,4597.0,4596.0,188.0,21.0
2020-12-22 09:02:49.500,4596.0,4595.0,249.0,43.0
2020-12-22 09:02:50.000,4595.0,4594.0,260.0,83.0
2020-12-22 09:02:50.500,4595.0,4593.0,195.0,9.0
2020-12-22 09:02:51.000,4595.0,4594.0,375.0,9.0
2020-12-22 09:02:51.500,4594.0,4592.0,164.0,152.0
2020-12-22 09:02:52.000,4594.0,4593.0,41.0,287.0
2020-12-22 09:02:52.500,4595.0,4594.0,278.0,321.0
2020-12-22 09:02:53.000,4595.0,4594.0,262.0,272.0
2020-12-22 09:02:53.500,4595.0,4594.0,229.0,24.0
2020-12-22 09:02:54.000,4594.0,4593.0,567.0,60.0
2020-12-22 09:02:54.500,4593.0,4592.0,134.0,145.0
2020-12-22 09:02:55.000,4593.0,4592.0,340.0,2.0
2020-12-22 09:02:55.500,4592.0,4591.0,384.0,203.0
2020-12-22 09:02:56.000,4592.0,4591.0,369.0,123.0
2020-12-22 09:02:56.500,4593.0,4592.0,169.0,16.0
2020-12-22 09:02:57.000,4595.0,4594.0,323.0,89.0
2020-12-22 09:02:57.500,4594.0,4593.0,23.0,75.0
2020-12-22 09:02:58.000,4595.0,4594.0,331.0,356.0
2020-12-22 09:02:58.500,4596.0,4595.0,607.0,27.0
2020-12-22 09:02:59.000,4596.0,4595.0,592.0,33.0
2020-12-22 09:02:59.500,4596.0,4595.0,603.0,67.0
2020-12-22 09:03:00.000,4593.0,4592.0,139.0,173.0
2020-12-22 09:03:00.500,4595.0,4594.0,75.0,11.0
2020-12-22 09:03:01.000,4595.0,4594.0,123.0,12.0
2020-12-22 09:03:01.500,4594.0,4593.0,98.0,63.0
2020-12-22 09:03:02.000,4594.0,4593.0,127.0,15.0
2020-12-22 09:03:02.500,4593.0,4592.0,81.0,179.0
2020-12-22 09:03:03.000,4595.0,4594.0,163.0,20.0
2020-12-22 09:03:03.500,4596.0,4595.0,637.0,2.0
2020-12-22 09:03:04.000,4596.0,4595.0,242.0,39.0
2020-12-22 09:03:04.500,4598.0,4597.0,104.0,40.0
2020-12-22 09:03:05.000,4598.0,4597.0,66.0,43.0
2020-12-22 09:03:05.500,4598.0,4596.0,82.0,134.0
2020-12-22 09:03:06.000,4598.0,4597.0,33.0,51.0
2020-12-22 09:03:06.500,4596.0,4595.0,302.0,277.0
2020-12-22 09:03:07.000,4596.0,4595.0,227.0,226.0
2020-12-22 09:03:07.500,4596.0,4595.0,207.0,454.0
2020-12-22 09:03:08.000,4596.0,4595.0,42.0,401.0
2020-12-22 09:03:08.500,4597.0,4596.0,85.0,41.0
2020-12-22 09:03:09.000,4596.0,4595.0,36.0,439.0
2020-12-22 09:03:09.500,4596.0,4595.0,53.0,395.0
2020-12-22 09:03:10.000,4594.0,4593.0,130.0,110.0
2020-12-22 09:03:10.500,4594.0,4593.0,148.0,9.0
2020-12-22 09:03:11.000,4593.0,4592.0,51.0,169.0
2020-12-22 09:03:11.500,4594.0,4592.0,56.0,149.0
2020-12-22 09:03:12.000,4593.0,4592.0,15.0,137.0
2020-12-22 09:03:12.500,4595.0,4594.0,175.0,2.0
2020-12-22 09:03:13.000,4594.0,4593.0,246.0,128.0
2020-12-22 09:03:13.500,4593.0,4592.0,4.0,102.0
2020-12-22 09:03:14.000,4593.0,4592.0,85.0,96.0
2020-12-22 09:03:14.500,4593.0,4592.0,47.0,81.0
2020-12-22 09:03:15.000,4592.0,4591.0,85.0,162.0
2020-12-22 09:03:15.500,4594.0,4592.0,40.0,92.0
2020-12-22 09:03:16.000,4594.0,4593.0,91.0,16.0
2020-12-22 09:03:16.500,4592.0,4591.0,7.0,157.0
2020-12-22 09:03:17.000,4592.0,4591.0,52.0,139.0
2020-12-22 09:03:17.500,4593.0,4592.0,34.0,4.0
2020-12-22 09:03:18.000,4593.0,4592.0,75.0,88.0
2020-12-22 09:03:18.500,4593.0,4592.0,47.0,47.0
2020-12-22 09:03:19.000,4593.0,4592.0,34.0,13.0
2020-12-22 09:03:19.500,4594.0,4593.0,113.0,12.0
2020-12-22 09:03:20.000,4593.0,4592.0,24.0,428.0
2020-12-22 09:03:20.500,4594.0,4593.0,117.0,30.0
2020-12-22 09:03:21.000,4594.0,4593.0,118.0,15.0
2020-12-22 09:03:21.500,4594.0,4593.0,137.0,4.0
2020-12-22 09:03:22.000,4593.0,4592.0,110.0,432.0
2020-12-22 09:03:22.500,4594.0,4593.0,43.0,11.0
2020-12-22 09:03:23.000,4594.0,4593.0,67.0,40.0
2020-12-22 09:03:23.500,4595.0,4594.0,247.0,124.0
2020-12-22 09:03:24.000,4596.0,4595.0,174.0,26.0
2020-12-22 09:03:24.500,4596.0,4595.0,155.0,3.0
2020-12-22 09:03:25.000,4596.0,4595.0,265.0,121.0
2020-12-22 09:03:25.500,4596.0,4595.0,205.0,138.0
2020-12-22 09:03:26.000,4597.0,4596.0,167.0,18.0
2020-12-22 09:03:26.500,4597.0,4596.0,189.0,5.0
2020-12-22 09:03:27.000,4596.0,4595.0,16.0,153.0
2020-12-22 09:03:27.500,4598.0,4597.0,398.0,282.0
2020-12-22 09:03:28.000,4599.0,4598.0,489.0,50.0
2020-12-22 09:03:28.500,4600.0,4599.0,980.0,62.0
2020-12-22 09:03:29.000,4598.0,4597.0,221.0,282.0
2020-12-22 09:03:29.500,4599.0,4598.0,360.0,1.0
2020-12-22 09:03:30.000,4598.0,4597.0,27.0,246.0
2020-12-22 09:03:30.500,4598.0,4597.0,152.0,185.0
2020-12-22 09:03:31.000,4597.0,4596.0,168.0,82.0
